"genre","publisher","developer","critic_score","release_date","total_sales","release_Month"
"Action","Rockstar Games","Rockstar Leeds",8.4,2006-10-31,5.08,10
"Role-Playing","Square Enix","Square Enix",8.1,2016-11-29,5.07,11
"Role-Playing","Bethesda Softworks","Bethesda Game Studios",8.4,2015-11-10,5.03,11
"Sports","Activision","Neversoft Entertainment",9.6,1999-08-31,5.02,8
"Strategy","Eidos Interactive","Pumpkin Studios",NA,1999-05-31,5.01,5
"Misc","RedOctane","BudCat Creations",8.2,2007-10-28,4.98,10
"Action","Sony Computer Entertainment","Naughty Dog",8.7,2007-11-16,4.97,11
"Role-Playing","Bethesda Softworks","Bethesda Game Studios",9,2008-10-28,4.96,10
"Sports","EA Sports","EA Tiburon",9.1,2005-08-08,4.91,8
"Shooter","Activision","Treyarch",NA,2018-10-12,4.85,10
"Action","Ubisoft","Ubisoft Montreal",8.2,2007-11-13,4.83,11
"Platform","Activision","Vicarious Visions",NA,2017-06-30,4.83,6
"Shooter","Activision","Infinity Ward",NA,2016-11-04,4.79,11
"Racing","Sony Computer Entertainment","Naughty Dog",9.2,1999-09-30,4.79,9
"Action","LucasArts","Traveller's Tales",7.8,2007-11-06,4.77,11
"Action","Warner Bros. Interactive","Rocksteady Studios",9.5,2011-10-18,4.75,10
"Action","Atari","Reflections Interactive",7,2000-11-13,4.73,11
"Racing","VU Games","Radical Entertainment",7.7,2003-09-16,4.7,9
"Sports","Activision","Neversoft Entertainment",9.3,2000-09-20,4.68,9
"Action","Electronic Arts","Stormfront Studios",8.3,2002-10-21,4.67,10
"Action","Eidos Interactive","Core Design Ltd.",8.9,1996-11-14,4.63,11
"Racing","Microsoft Studios","Turn 10 Studio",9.1,2011-10-11,4.6,10
"Misc","RedOctane","Vicarious Visions",8.6,2007-10-28,4.6,10
"Sports","EA Sports","EA Canada",6.9,2014-09-23,4.56,9
"Sports","Sega","Sega",6.8,2009-10-13,4.54,10
"Shooter","Blizzard Entertainment","Blizzard Entertainment",8.8,2016-05-24,4.54,5
"Misc","RedOctane","Neversoft",8.7,2007-10-28,4.53,10
"Shooter","Electronic Arts","EA DICE",NA,2017-11-17,4.53,11
"Sports","EA Sports","EA Tiburon",9.5,2004-08-09,4.53,8
"Action","Activision","Treyarch",8.2,2002-04-15,4.48,4
"Role-Playing","Take-Two Interactive","Bethesda Softworks",9.2,2009-07-07,4.47,7
"Sports","Activision","Neversoft Entertainment",9.1,2001-10-28,4.41,10
"Sports","Konami","Konami Computer Entertainment Tokyo",8.8,2007-02-06,4.39,2
"Shooter","Ubisoft","Massive Entertainment",NA,2016-03-08,4.37,3
"Racing","Electronic Arts","EA Canada",8.6,2005-11-15,4.37,11
"Misc","Ubisoft","Ubisoft Montpellier",5.6,2010-11-23,4.37,11
